"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
405,"Abbotsford","0007",10,"Unified","Abbotsford Sch Dist",86.20689655,"86.2%",222348810.386512,113939.445943304
406,"Clear Lake","1127",11,"Unified","Clear Lake Sch Dist",90.50179211,"90.5%",562393155.29528,174594.360805443
407,"Milwaukee","3619",1,"Unified","Milwaukee Sch Dist",79.21088488,"79.2%",468706066.617636,240858.573890624
408,"Shell Lake","5306",11,"Unified","Shell Lake Sch Dist",89.32496075,"89.3%",829298501.495211,186478.837274263
409,"Spooner Area","5474",11,"Unified","Spooner Area Sch Dist",91.66666667,"91.7%",2797929783.964,358481.556742396
410,"Pulaski Community","4613",7,"Unified","Pulaski Community Sch Dist",92.43081932,"92.4%",942630204.034189,290408.670919375
411,"Menomonie Area","3444",11,"Unified","Menomonie Area Sch Dist",91.93251534,"91.9%",1275156443.4107,360502.900661705
412,"Wauzeka-Steuben","6251",3,"Unified","Wauzeka-Steuben Sch Dist",90.46052632,"90.5%",461034116.979047,204385.463260036
413,"Loyal","3206",10,"Unified","Loyal Sch Dist",93.83697813,"93.8%",579163630.15033,180434.699104675
414,"Verona Area","5901",2,"Unified","Verona Area Sch Dist",89.85853077,"89.9%",259935367.062415,149520.248066604
415,"Mayville","3367",6,"Unified","Mayville Sch Dist",84.63886063,"84.6%",482660776.099222,195819.181920161
416,"Durand-Arkansaw","1499",11,"Unified","Durand-Arkansaw Sch Dist",90.94608342,"90.9%",1506908317.60822,556597.261571573
417,"Seneca Area","5124",3,"Unified","Seneca Area Sch Dist",92.46031746,"92.5%",569512611.577282,333755.426874446
418,"Salem","5068",2,"Elementary",,-3,"No data",85836633.4397034,50148.4915710168
419,"Suring Public","5670",8,"Unified",,-3,"No data",1574385487.66061,221639.257466899
420,"Williams Bay","6482",2,"Unified",,-3,"No data",49135323.4783219,48496.6605015958
421,"Winter","6615",12,"Unified",,-3,"No data",3525205329.00009,285548.018400392
