"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38075,"Renville County","11",306,9.14983660130719,0.979542483660131,0,0,95.753137254902,95.753137254902,NA,95.753137254902,95.7533986928105,95.7533333333333,84.6396405228758
38075,"Renville County","7",299,1.00334448160535,1.67123745819398,0,0,95.651906354515,94.9830100334448,NA,95.3177926421405,95.651906354515,88.2955183946488,89.2985618729097
38075,"Renville County","Kindergarten",287,1.04505226480836,3.48320557491289,0,0,90.5912195121951,89.8956445993031,89.547212543554,94.7733101045296,89.8949128919861,NA,NA
38077,"Richland County","11",1054,0.664554079696395,1.05131878557875,0.0958064516129032,0,98.8528747628084,98.9486812144213,NA,98.8528747628084,98.948036053131,98.5635673624288,96.5675996204934
38077,"Richland County","7",1186,0.17252107925801,1.43453625632378,0.169005059021922,0.338128161888702,97.0468549747049,96.9574451939292,NA,97.5522259696459,97.2153878583474,92.8212141652614,91.9772344013491
38077,"Richland County","Kindergarten",1273,0.550589159465829,2.92945797329144,0.156480754124116,1.02311076197958,95.2560801256873,95.1715239591516,95.1715239591516,96.6822623723488,93.9947525530244,NA,NA
38077,"Richland County","12",11,0,0,0,0,100,100,100,100,100,100,100
38079,"Rolette County","11",1286,1.3246034214619,0.623973561430793,0,0.466500777604977,98.8315940902022,98.67466562986,NA,98.9084447900467,98.987200622084,98.7547978227061,88.7237247278382
38079,"Rolette County","7",1810,0.775441988950276,0.88307182320442,0.0557900552486188,0.110077348066298,98.8956243093923,98.8389447513812,NA,95.6888729281768,98.8934033149171,98.2310994475138,98.1215303867403
38079,"Rolette County","Kindergarten",1935,0.3611834625323,0.878542635658915,0.0532403100775194,0.361870801033592,97.878315245478,98.1368372093023,97.6702325581395,98.4494521963824,97.9300465116279,NA,NA
38081,"Sargent County","11",277,0,1.49956678700361,0,0.36101083032491,98.1394223826715,97.7512635379061,NA,98.9172563176895,97.4165342960289,94.1239350180505,90.0975090252708
38081,"Sargent County","7",299,0.334816053511706,2.34207357859532,0,0,97.3246822742475,97.3246822742475,NA,97.9931772575251,97.3242809364548,95.6530434782609,95.6530434782609
38081,"Sargent County","Kindergarten",325,0,6.76769230769231,0,1.5368,91.6915692307692,91.3843692307692,91.0771692307692,91.6917538461539,91.3828,NA,NA
38083,"Sheridan County","11",51,0,0,0,3.92176470588235,96.0782352941176,96.0782352941176,NA,96.0782352941176,96.0782352941176,90.1958823529412,92.1566666666667
38083,"Sheridan County","7",54,0,0,0,2.04142857142857,97.9585714285714,97.9585714285714,NA,97.9585714285714,97.9585714285714,75.510612244898,71.4289795918367
38083,"Sheridan County","Kindergarten",78,2.56282051282051,3.84474358974359,0,6.41153846153846,74.3589743589744,74.3589743589744,73.0782051282051,82.0530769230769,75.6397435897436,NA,NA
