"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Central High School","Public","1 Lincoln Blvd.","Bridgeport","06606","Greater Bridgeport","0.4","0.1","0.5"
"Cesar Batalla School","Public","606 Howard Ave.","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Classical Studies Academy 3-8","Public","240 Linwood Ave.","Bridgeport","06604","Greater Bridgeport","0.5","0.0","0.5"
"Classical Studies Academy PK-2","Public","240 Linwood Ave.","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Columbus School","Public","300 University Avenue","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Discovery Magnet","Non-public","4510 Park Avenue","Bridgeport","06606","Greater Bridgeport","1.8","0.4","2.2"
"Edison School","Public","115 Boston Terrace","Bridgeport","06610","Greater Bridgeport","0.0","0.0","0.0"
"Fairchild Wheeler Interdistrict Magnet Campus","Public","840 Old Town Road","Bridgeport","06606","Greater Bridgeport","1.6","0.0","1.6"
"Geraldine Claytor Magnet Academy","Public","240 Ocean Terrace","Bridgeport","06605","Greater Bridgeport","0.0","0.0","0.0"
"Geraldine Johnson School","Public","475 Lexington Avenue","Bridgeport","06604","Greater Bridgeport","0.2","0.1","0.4"
"Great Oaks Charter School","Public","375 Howard Avenue","Bridgeport","06605","Greater Bridgeport","0.5","0.0","0.5"
"Hall School","Public","290 Clermont Ave.","Bridgeport","06610","Greater Bridgeport","0.0","0.0","0.0"
"Hallen School","Public","68 Omega Ave.","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"High Horizons","Non-public","700 Palisades Avenue","Bridgeport","06610","Greater Bridgeport","1.8","0.9","2.8"
"James J. Curiale School","Public","300 Laurel Ave.","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Jettie S. Tisdale School","Public","250 Hollister Avenue","Bridgeport","06607","Greater Bridgeport","0.2","0.0","0.2"
"John Winthrop School","Public","85 Eckart St.","Bridgeport","06606","Greater Bridgeport","1.0","0.0","1.0"
"Kolbe Cathedral Preparatory School","Non-public","33 Calhoun Place","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Luis Munoz Marin School","Public","479 Helen St.","Bridgeport","06608","Greater Bridgeport","0.0","0.0","0.0"
"Madison School","Public","376 Wayne St.","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"Multicultural Magnet School","Public","700 Palisade Ave.","Bridgeport","06610","Greater Bridgeport","0.0","0.0","0.0"
"New Beginnings Inc Family Academy","Public","184 Garden St.","Bridgeport","06605","Greater Bridgeport","0.7","0.0","0.7"
"Northeastern Adventist Academy - Fairfield County Campus","Non-public","827 Trumbull Avenue","Bridgeport","06606","Greater Bridgeport","DNC","DNC","DNC"
"Park City Magnet School","Public","1526 Chopsey Hill Rd.","Bridgeport","06606","Greater Bridgeport","0.2","0.0","0.2"
"Park City Prep Charter School","Public","1550 State Street","Bridgeport","06605","Greater Bridgeport","DNC","DNC","DNC"
"Paul Laurence Dunbar School","Public","445 Union Ave.","Bridgeport","06607","Greater Bridgeport","0.0","0.0","0.0"
"Read School","Public","130 Ezra St.","Bridgeport","06606","Greater Bridgeport","0.0","0.0","0.0"
"Roosevelt School","Public","680 Park Ave.","Bridgeport","06604","Greater Bridgeport","0.0","0.0","0.0"
"Six-Six Magnet School","Non-public","601 Pearl Harbor St.","Bridgeport","06610","Greater Bridgeport","1.4","0.5","1.8"
"The Bridge Academy","Public","160 Pulaski Street","Bridgeport","06608","Greater Bridgeport","0.0","0.0","0.0"
"Thomas Hooker School","Public","138 Roger Williams Rd.","Bridgeport","06610","Greater Bridgeport","0.0","0.0","0.0"
